Task Type,Title,Description,Animal ID
Task,General Task 1,A basic task description,
Task,General Task 2,Another basic task description,
AnimalTask,Feed Animal,Feed animal number 1,1
AnimalTask,Walk Animal,Walking with animal number 2,2
MicrochippingTask,Microchip Animal,Prepare animal number 3 for microchipping,3
MicrochippingTask,Check Microchip,Verify chip in animal number 4,4
VaccinationTask,Vaccinate Animal,Administer vaccine to animal number 1,1
VaccinationTask,Rabies Vaccine,Rabies vaccination for animal number 5,5
HealthCheckTask,General Health Check,Health assessment for animal number 2,2
HealthCheckTask,Detailed Health Analysis,In-depth health analysis for animal 3,3
Task,Cleanup Task,Cleaning and maintenance work,
Task,Organization Task,Organizing supplies and resources,
AnimalTask,Bathing Animal,Bathe animal number 4,4
AnimalTask,Grooming Animal,Grooming session for animal number 5,5
MicrochippingTask,Update Microchip Info,Update information for animal number 1's chip,1
MicrochippingTask,Replace Microchip,Replace faulty chip in animal number 2,2
VaccinationTask,Update Vaccination Record,Update vaccine records for animal number 3,3
VaccinationTask,Flu Vaccine,Administer flu vaccine to animal number 4,4
HealthCheckTask,Preventive Health Check,Preventive care for animal number 5,5
HealthCheckTask,Emergency Health Response,Urgent care needed for animal number 1,1
